,Pokemon_A,Pokemon_B,Winner
1662,761,524,524
1663,640,220,640
1664,139,144,139
1665,735,749,749
1666,400,323,400
1667,401,779,401
1668,76,639,76
1669,70,513,513
1670,529,619,619
1671,692,474,474
1672,537,82,537
1673,736,284,736
1674,331,767,767
1675,576,291,576
1676,218,547,547
1677,312,718,718
1678,681,211,681
1679,560,259,259
1680,678,66,66
1681,100,782,782
1682,634,678,634
1683,351,657,657
1684,161,592,161
1685,416,772,772
1686,103,537,103
1687,289,771,771
1688,711,123,711
1689,25,578,25
1690,384,504,384
1691,64,730,730
1692,477,669,477
1693,654,434,654
1694,345,704,704
1695,489,666,666
1696,493,372,493
1697,384,229,384
1698,160,226,160
1699,655,202,202
1700,512,771,771
1701,392,740,740
1702,374,37,37
1703,684,435,435
1704,679,433,679
1705,304,338,338
1706,109,656,109
1707,410,385,410
1708,232,333,232
1709,564,748,748
1710,298,535,535
1711,609,365,365
1712,660,584,660
1713,746,178,746
1714,162,263,263
1715,230,665,230
1716,705,390,705
1717,334,14,334
1718,268,681,681
1719,239,641,239
1720,546,78,546
1721,341,11,341
1722,595,322,322
1723,245,739,245
1724,79,792,792
1725,617,676,617
1726,72,244,72
1727,280,156,280
1728,354,636,636
1729,105,658,658
1730,393,561,393
1731,782,538,538
1732,356,628,628
1733,404,334,404
1734,258,234,234
1735,584,394,394
1736,530,243,243
1737,598,328,598
1738,108,300,300
1739,231,49,49
1740,782,537,537
1741,490,384,490
1742,128,569,569
1743,551,235,551
1744,438,346,438
1745,714,150,714
1746,342,703,703
1747,525,204,204
1748,560,492,560
1749,196,491,196
1750,581,724,724
1751,451,788,451
1752,540,720,540
1753,685,457,685
1754,47,298,298
1755,38,528,528
1756,779,558,558
1757,532,145,532
1758,356,566,566
1759,296,604,296
1760,624,586,624
1761,421,54,421
1762,107,176,107
1763,653,641,641
1764,747,592,747
1765,285,170,170
1766,769,449,449
1767,289,207,207
1768,485,131,131
1769,511,214,214
1770,766,293,766
1771,784,243,243
1772,687,457,687
1773,778,434,778
1774,270,305,270
1775,724,309,724
1776,33,520,520
1777,139,113,139
1778,641,221,221
1779,634,346,634
1780,322,220,322
1781,618,617,618
1782,368,232,368
1783,720,403,720
1784,561,325,325
1785,252,620,252
1786,360,560,560
1787,19,43,19
1788,547,487,547
1789,602,377,377
1790,108,478,478
1791,233,661,233
1792,467,426,467
1793,774,394,394
1794,468,225,468
1795,712,163,163
1796,712,314,314
1797,761,380,380
1798,590,457,590
1799,210,173,173
1800,422,379,422
1801,569,553,553
1802,362,757,362
1803,715,494,715
1804,610,136,136
1805,43,743,43
1806,503,627,503
1807,1,133,133
1808,620,372,372
1809,218,50,50
1810,117,619,619
1811,91,66,66
1812,647,211,647
1813,765,363,765
1814,506,401,401
1815,573,92,92
1816,665,413,413
1817,748,87,748
1818,757,611,611
1819,16,654,16
1820,495,58,495
1821,320,702,702
1822,477,116,477
1823,205,22,205
1824,489,737,737
1825,211,165,165
1826,197,611,611
1827,199,522,522
1828,706,243,706
1829,639,202,202
1830,153,30,30
1831,75,422,422
1832,442,99,99
1833,334,95,95
1834,81,661,661
1835,54,321,54
1836,3,402,3
1837,46,738,46
1838,417,659,417
1839,52,563,563
1840,680,452,452
1841,284,644,284
1842,577,16,16
1843,728,226,728
1844,542,188,542
1845,678,497,497
1846,478,470,478
1847,651,427,427
1848,242,505,505
1849,691,278,691
1850,270,437,270
1851,564,443,443
1852,331,111,111
1853,101,390,101
1854,33,259,259
1855,26,66,26
1856,218,325,325
1857,649,558,649
1858,291,399,291
1859,597,622,597
1860,686,795,795
1861,122,448,448
1862,27,751,27
1863,147,675,147
1864,99,142,142
1865,707,16,707
1866,578,314,314
1867,482,118,482
1868,788,515,788
1869,154,492,154
1870,638,793,793
1871,409,785,409
1872,533,136,136
1873,603,654,603
1874,388,266,388
1875,669,293,293
1876,696,198,696
1877,22,427,427
1878,506,544,544
1879,736,520,520
1880,709,450,709
1881,185,772,772
1882,18,426,426
1883,203,175,175
1884,205,627,205
1885,397,523,397
1886,495,238,495
1887,5,786,786
1888,260,766,766
1889,243,760,760
1890,136,282,136
1891,278,524,524
1892,507,77,507
1893,705,111,705
1894,549,402,549
1895,613,696,613
1896,241,740,740
1897,563,33,563
1898,239,386,239
1899,326,107,326
1900,734,714,714
1901,782,645,645
1902,73,547,547
1903,345,67,67
1904,669,345,345
1905,453,526,526
1906,445,634,634
1907,337,127,337
1908,621,164,164
1909,302,190,302
1910,310,316,316
1911,645,509,645
1912,435,760,760
1913,799,455,799
1914,84,671,84
1915,502,799,799
1916,53,491,491
1917,465,527,465
1918,342,564,342
1919,366,81,366
1920,657,637,657
1921,421,280,421
1922,646,736,646
1923,128,656,656
1924,404,387,387
1925,498,416,498
1926,223,784,223
1927,348,356,348
1928,303,508,508
1929,765,377,377
1930,267,450,450
1931,219,534,534
1932,784,53,784
1933,254,153,254
1934,192,395,192
1935,134,749,749
1936,226,39,39
1937,203,186,186
1938,421,88,421
1939,571,605,571
1940,278,196,196
1941,394,14,394
1942,534,180,534
1943,321,757,757
1944,346,457,346
1945,759,664,664
1946,61,644,61
1947,270,267,270
1948,533,211,533
1949,130,158,158
1950,431,341,341
1951,554,686,554
1952,535,444,444
1953,533,507,533
1954,354,190,354
1955,541,730,541
1956,542,43,542
1957,286,183,286
1958,110,471,110
1959,401,707,707
1960,119,754,119
1961,755,494,494
1962,193,84,193
1963,402,756,756
1964,484,261,261
1965,394,531,394
1966,707,195,707
1967,127,287,127
1968,701,335,701
1969,474,269,474
1970,521,371,521
1971,236,229,229
1972,195,514,514
1973,46,677,46
1974,132,213,132
1975,260,87,260
1976,510,252,252
1977,203,339,339
1978,233,647,647
1979,602,455,455
1980,754,705,705
1981,562,244,244
1982,477,617,477
1983,513,653,513
1984,110,785,110
1985,723,518,518
1986,510,383,383
1987,526,268,526
1988,417,793,793
1989,724,559,724
1990,308,199,308
1991,505,664,505
1992,294,363,363
1993,18,412,412
1994,539,68,539
1995,480,31,31
1996,500,264,264
1997,644,17,17
1998,767,431,431
1999,482,11,11
2000,115,298,115
2001,138,470,138
2002,455,412,455
2003,508,395,508
2004,404,568,568
2005,509,97,97
2006,113,263,263
2007,276,463,276
2008,616,584,616
2009,276,297,276
2010,257,685,685
2011,291,352,291
2012,779,364,364
2013,767,434,767
2014,719,306,306
2015,656,603,603
2016,509,46,509
2017,502,71,71
2018,535,408,535
2019,757,718,718
2020,751,537,537
2021,56,558,56
2022,643,562,643
2023,563,80,80
2024,737,626,737
2025,77,34,34
2026,200,647,647
2027,231,535,535
2028,789,557,557
2029,593,73,73
2030,421,39,421
2031,120,43,120
2032,559,714,714
2033,758,323,758
2034,487,659,659
2035,405,153,153
2036,16,65,65
2037,746,164,164
2038,151,245,245
2039,597,476,476
2040,318,26,26
2041,328,247,247
2042,706,403,706
2043,725,336,336
2044,225,29,29
2045,227,425,425
2046,167,626,167
2047,13,752,13
2048,614,83,614
2049,737,568,737
2050,288,66,288
2051,561,253,253
2052,708,133,133
2053,61,338,61
2054,316,646,316
2055,375,90,90
2056,325,613,613
2057,208,226,226
2058,360,379,379
2059,774,489,774
2060,628,710,710
2061,584,789,789
2062,494,559,494
2063,308,96,96
2064,334,35,334
2065,204,477,477
2066,560,370,370
2067,385,492,492
2068,25,436,25
2069,431,731,431
2070,11,202,202
2071,187,538,538
2072,26,90,26
2073,795,37,795
2074,231,136,136
2075,43,108,108
2076,179,145,179
2077,57,775,57
2078,206,134,134
2079,680,468,468
2080,370,755,370
2081,639,18,18
2082,512,599,599
2083,158,458,158
2084,369,294,369
2085,604,241,604
2086,278,706,706
2087,205,800,205
2088,543,412,543
2089,730,512,730
2090,677,108,677
2091,137,780,137
2092,690,191,690
2093,32,689,32
2094,661,383,383
2095,619,439,619
2096,86,218,218
2097,628,734,628
2098,221,382,221
2099,58,631,58
2100,408,496,408
2101,617,471,617
2102,495,181,495
2103,601,459,601
2104,464,476,476
2105,486,537,537
2106,416,777,777
2107,80,226,80
2108,653,150,150
2109,377,158,158
2110,646,592,646
2111,159,760,159
2112,788,523,523
2113,37,490,490
2114,363,108,108
2115,265,382,265
2116,71,335,71
2117,596,646,646
2118,739,765,765
2119,675,376,376
2120,664,643,643
2121,369,129,129
2122,184,252,184
2123,659,471,471
2124,293,53,293
2125,127,97,127
2126,550,12,550
2127,366,767,366
2128,419,178,419
2129,217,157,157
2130,102,470,102
2131,245,58,58
2132,689,520,520
2133,185,454,185
2134,305,178,178
2135,20,755,20
2136,475,378,475
2137,445,97,97
2138,791,187,187
2139,627,760,760
2140,151,478,478
2141,154,45,154
2142,644,467,467
2143,354,686,686
2144,359,183,359
2145,333,108,108
2146,759,204,204
2147,441,687,687
2148,492,642,642
2149,19,639,19
2150,176,265,265
2151,713,312,713
2152,100,190,100
2153,533,776,533
2154,256,275,275
2155,257,578,257
2156,353,64,64
2157,560,182,560
2158,42,465,465
2159,74,633,633
2160,455,650,650
2161,211,21,21
2162,573,729,729
2163,661,405,405
2164,612,794,794
2165,110,44,110
2166,660,628,628
2167,580,148,148
2168,178,142,142
2169,647,785,785
2170,503,385,503
2171,718,327,718
2172,738,475,475
2173,596,164,164
2174,169,174,169
2175,509,195,509
2176,560,236,560
2177,743,386,386
2178,521,42,521
2179,392,780,392
2180,657,439,657
2181,131,273,131
2182,195,61,61
2183,671,335,671
2184,366,259,259
2185,60,506,60
2186,78,761,78
2187,177,11,177
2188,742,86,742
2189,465,552,552
2190,513,109,513
2191,249,721,249
2192,80,78,80
2193,89,291,291
2194,499,267,499
2195,779,628,628
2196,720,168,168
2197,625,148,148
2198,320,525,525
2199,442,430,430
2200,567,530,567
2201,593,325,325
2202,372,253,253
2203,530,635,635
2204,541,651,651
2205,388,620,388
2206,9,765,9
2207,533,75,533
2208,146,80,80
2209,32,403,32
2210,52,257,257
2211,210,77,77
2212,737,285,737
2213,157,256,157
2214,49,328,49
2215,9,21,9
2216,560,291,291
2217,459,201,459
2218,185,544,544
2219,86,168,168
2220,214,436,214
2221,284,66,66
2222,696,774,696
2223,784,317,317
2224,189,638,638
2225,349,365,349
2226,508,449,508
2227,501,665,501
2228,227,234,234
2229,749,457,457
2230,792,718,792
2231,59,183,59
2232,225,732,732
2233,157,642,157
2234,412,12,12
2235,326,37,37
2236,75,290,75
2237,685,172,172
2238,8,623,8
2239,248,280,280
2240,242,654,242
2241,720,620,720
2242,225,635,635
2243,83,519,519
2244,725,177,177
2245,195,10,195
2246,29,280,280
2247,10,256,10
2248,273,797,797
2249,474,386,474
2250,476,123,476
2251,51,14,51
2252,344,377,344
2253,619,620,619
2254,413,376,413
2255,524,358,524
2256,717,210,717
2257,727,197,727
2258,366,338,366
2259,494,587,494
2260,525,704,704
2261,640,694,694
2262,275,366,275
2263,350,615,350
2264,786,647,786
2265,283,768,768
2266,248,768,248
2267,667,499,499
2268,583,474,583
2269,10,799,799
2270,616,421,421
2271,240,420,420
2272,610,244,610
2273,522,361,522
2274,618,426,426
2275,417,613,613
2276,111,212,212
2277,433,256,256
2278,217,428,428
2279,240,204,204
2280,444,523,444
2281,470,503,503
2282,304,578,304
2283,232,355,232
2284,334,799,799
2285,500,715,715
2286,73,453,453
2287,438,513,513
2288,247,419,419
2289,799,472,472
2290,475,547,547
2291,267,586,267
2292,622,263,263
2293,393,40,40
2294,518,720,518
2295,298,68,68
2296,660,39,39
2297,460,25,25
2298,626,206,206
2299,755,79,79
2300,613,396,613
2301,598,199,598
2302,44,544,544
2303,421,420,421
2304,163,293,163
2305,768,568,568
2306,739,141,141
2307,525,597,525
2308,338,209,209
2309,426,321,426
2310,368,28,28
2311,630,237,630
2312,120,682,682
2313,453,396,453
2314,759,20,20
2315,294,799,799
2316,81,123,123
2317,140,266,266
2318,203,480,480
2319,289,55,55
2320,138,205,205
2321,18,134,134
2322,314,571,314
2323,785,401,785
2324,554,14,554
2325,238,713,713
2326,225,85,85
2327,599,637,637
2328,282,300,300
2329,344,384,344
2330,485,552,552
2331,22,89,22
2332,588,755,588
2333,514,190,514
2334,744,615,744
2335,281,29,29
2336,628,129,628
2337,289,193,193
2338,323,187,187
2339,28,124,28
2340,296,31,31
2341,719,237,719
2342,243,310,243
2343,533,752,533
2344,89,266,89
2345,722,303,303
2346,423,274,274
2347,86,695,695
2348,180,313,313
2349,693,465,465
2350,356,544,544
2351,645,454,454
2352,251,677,677
2353,137,761,137
2354,252,520,520
2355,338,709,709
2356,257,116,116
2357,402,362,362
2358,84,635,635
2359,660,572,572
2360,537,100,537
2361,93,330,93
2362,345,502,502
2363,440,293,293
2364,485,180,180
2365,571,292,571
2366,108,367,367
2367,100,639,100
2368,24,86,24
2369,242,412,242
2370,629,480,629
2371,64,83,64
2372,419,225,419
2373,454,604,604
2374,115,634,115
2375,340,665,340
2376,159,574,574
2377,677,565,677
2378,102,310,102
2379,643,555,643
2380,681,700,700
2381,39,630,630
2382,644,62,62
2383,136,503,503
2384,240,140,240
2385,175,783,175
2386,456,430,430
2387,111,565,565
2388,271,365,271
2389,78,152,78
2390,31,200,31
2391,594,418,594
2392,44,690,44
2393,696,425,425
2394,186,544,544
2395,633,380,633
2396,1,646,646
2397,543,524,524
2398,76,696,696
2399,668,789,668
2400,262,33,262
2401,212,489,212
2402,6,200,6
2403,339,126,339
2404,395,383,383
2405,392,36,392
2406,620,183,620
2407,522,207,522
2408,353,627,353
2409,555,523,523
2410,124,591,124
2411,342,708,342
2412,355,723,355
2413,740,94,740
2414,130,720,130
2415,421,757,421
2416,716,27,716
2417,550,42,550
2418,531,414,414
2419,133,771,133
2420,630,362,362
2421,583,794,583
2422,10,456,10
2423,187,447,187
2424,626,752,752
2425,677,300,677
2426,410,495,410
2427,267,516,267
2428,672,711,711
2429,759,620,759
2430,631,626,631
2431,259,793,793
2432,697,763,697
2433,742,664,742
2434,450,680,450
2435,208,367,367
2436,118,683,683
2437,747,577,747
2438,343,675,343
2439,288,201,288
2440,638,20,20
2441,564,266,564
2442,732,509,732
2443,120,49,49
2444,726,252,726
2445,396,286,286
2446,214,324,214
2447,297,49,49
2448,582,37,37
2449,648,659,648
2450,160,685,685
2451,264,49,264
2452,559,313,313
2453,364,8,8
2454,521,62,521
2455,153,294,153
2456,702,337,702
2457,522,592,522
2458,743,172,172
2459,685,372,372
2460,232,470,232
2461,624,714,714
2462,23,720,23
2463,149,444,444
2464,7,425,7
2465,132,401,132
2466,698,662,698
2467,146,222,146
2468,520,319,520
2469,490,141,490
2470,341,303,341
2471,13,648,648
2472,567,118,567
2473,249,372,249
2474,624,735,735
2475,660,364,364
2476,545,87,545
2477,340,82,340
2478,409,38,409
2479,382,186,382
2480,348,393,393
2481,765,780,765
2482,267,751,751
2483,473,26,26
2484,539,8,8
2485,634,587,634
2486,132,371,132
2487,527,36,527
2488,131,401,131
2489,133,113,133
2490,205,404,205
2491,351,756,756
2492,315,311,311
2493,69,691,691
2494,734,109,109
2495,405,390,405
2496,673,325,673
2497,69,278,278
2498,458,448,448
2499,776,613,613
2500,764,264,264
2501,215,662,662
2502,272,539,272
2503,121,281,281
2504,8,543,8
2505,725,314,314
2506,163,20,20
2507,738,434,738
2508,471,572,572
2509,369,204,204
2510,730,675,730
2511,229,504,229
2512,225,405,405
2513,501,178,178
2514,473,759,473
2515,389,502,502
2516,72,77,72
2517,617,519,519
2518,543,778,543
2519,304,484,484
2520,348,722,348
2521,154,321,154
2522,333,371,371
2523,91,399,91
2524,265,766,766
2525,707,658,658
2526,49,162,162
2527,357,687,687
2528,582,476,476
2529,737,281,737
2530,56,177,56
2531,369,464,369
2532,525,662,525
2533,135,193,135
2534,688,99,99
2535,626,67,67
2536,602,324,602
2537,270,32,32
2538,253,398,398
2539,507,219,219
2540,127,252,127
2541,55,552,552
2542,459,141,141
2543,687,469,469
2544,152,588,588
2545,111,47,47
2546,80,10,80
2547,731,798,731
2548,435,377,377
2549,642,638,638
2550,285,137,137
2551,674,684,684
2552,492,571,571
2553,747,269,747
2554,542,21,542
2555,366,320,366
2556,688,345,345
2557,267,219,219
2558,234,595,234
2559,51,243,51
2560,114,335,335
2561,302,288,288
2562,275,726,275
2563,185,297,185
2564,728,333,728
2565,328,69,328
2566,537,513,513
2567,197,700,700
2568,599,131,131
2569,280,549,549
2570,302,587,302
2571,235,238,235
2572,416,158,158
2573,363,229,229
2574,309,9,9
2575,585,425,425
2576,566,577,566
2577,39,388,388
2578,285,56,56
2579,724,475,724
2580,375,669,375
2581,227,327,327
2582,578,409,409
2583,462,749,462
2584,85,13,85
2585,521,221,521
2586,782,104,104
2587,163,138,163
2588,464,379,379
2589,456,774,774
2590,627,194,194
2591,104,618,104
2592,546,720,546
2593,146,39,39
2594,542,11,542
2595,163,246,163
2596,446,138,138
2597,772,797,772
2598,796,316,316
2599,424,656,424
2600,312,525,525
2601,787,642,787
2602,83,444,444
2603,381,482,482
2604,711,80,80
2605,113,763,763
2606,31,744,31
2607,716,328,716
2608,404,390,404
2609,73,661,73
2610,1,696,696
2611,560,182,560
2612,671,18,671
2613,347,793,793
2614,559,708,708
2615,268,207,268
2616,454,659,454
2617,451,606,606
2618,527,348,527
2619,628,92,92
2620,48,288,288
2621,210,598,598
2622,35,500,35
2623,22,593,22
2624,786,508,786
2625,364,490,490
2626,649,236,649
2627,790,176,790
2628,435,35,435
2629,597,328,597
2630,231,175,175
2631,242,712,712
2632,524,289,524
2633,591,35,591
2634,86,200,86
2635,58,252,58
2636,584,57,584
2637,795,641,795
2638,50,632,632
2639,343,533,533
2640,659,538,538
2641,342,424,342
2642,230,647,647
2643,640,328,640
2644,217,799,799
2645,259,415,259
2646,41,236,236
2647,650,180,650
2648,54,617,617
2649,620,201,620
2650,297,510,510
2651,784,700,700
2652,140,552,552
2653,797,545,797
2654,185,537,537
2655,793,55,793
2656,451,301,301
2657,597,741,597
2658,243,747,747
2659,711,21,711
2660,634,449,634
2661,104,453,453
2662,134,90,134
2663,303,188,303
2664,33,591,591
2665,476,256,476
2666,47,546,546
2667,327,639,327
2668,473,374,473
2669,42,667,42
2670,652,641,641
2671,197,149,197
2672,620,719,620
2673,405,270,270
2674,429,582,429
2675,463,566,463
2676,494,767,494
2677,559,580,580
2678,429,166,429
2679,181,702,702
2680,270,214,270
2681,449,126,126
2682,367,137,137
2683,261,429,429
2684,468,15,468
2685,483,690,690
2686,569,710,710
2687,725,196,725
2688,740,575,740
2689,586,421,586
2690,224,265,265
2691,425,88,425
2692,361,314,314
2693,731,478,478
2694,670,713,713
2695,678,484,484
2696,637,405,405
2697,436,666,436
2698,55,1,55
2699,53,227,227
2700,57,139,57
2701,128,170,170
2702,245,401,245
2703,714,184,184
2704,529,599,599
2705,626,134,626
2706,57,74,57
2707,221,176,221
2708,795,654,795
2709,486,409,409
2710,508,465,465
2711,275,632,275
2712,735,486,486
2713,277,24,24
2714,109,243,109
2715,287,366,366
2716,309,595,309
2717,780,16,16
2718,783,745,745
2719,735,521,521
2720,372,504,372
2721,682,44,682
2722,337,242,337
2723,348,44,44
2724,704,180,704
2725,557,582,557
2726,800,547,547
2727,258,320,320
2728,49,422,422
2729,334,749,334
2730,463,771,463
2731,688,739,688
2732,372,40,40
2733,27,309,27
2734,637,725,725
2735,657,736,736
2736,546,337,337
2737,506,153,153
2738,60,705,705
2739,694,226,694
2740,754,205,205
2741,103,1,103
2742,236,763,236
2743,546,525,546
2744,105,247,247
2745,98,164,164
2746,469,669,469
2747,224,690,690
2748,329,269,269
2749,312,650,650
2750,798,149,149
2751,402,337,337
2752,377,225,377
2753,187,272,272
2754,557,612,557
2755,269,643,643
2756,415,288,288
2757,236,612,612
2758,409,469,409
2759,164,346,164
2760,509,94,509
2761,260,356,260
2762,153,407,153
2763,121,723,121
2764,475,295,475
2765,441,157,157
2766,459,565,565
2767,338,215,338
2768,252,642,642
2769,269,433,269
2770,602,183,602
2771,576,318,576
2772,477,54,477
2773,467,298,467
2774,33,473,473
2775,741,364,364
2776,294,150,150
2777,778,390,778
2778,298,301,301
2779,413,233,233
2780,652,595,595
2781,525,294,525
2782,25,569,25
2783,339,338,339
2784,635,166,635
2785,768,529,768
2786,193,90,193
2787,274,298,274
2788,271,384,271
2789,111,71,71
2790,445,775,775
2791,704,204,704
2792,208,229,229
2793,637,316,316
2794,109,434,434
2795,451,210,451
2796,65,243,65
2797,251,43,43
2798,482,136,136
2799,335,370,370
2800,670,73,670
2801,681,317,317
2802,371,166,166
2803,727,165,165
2804,114,219,219
2805,214,731,214
2806,638,192,192
2807,710,465,465
2808,404,698,698
2809,317,753,317
2810,561,613,613
2811,216,225,216
2812,185,76,185
2813,336,449,336
2814,606,572,606
2815,685,505,505
2816,268,732,732
2817,665,408,408
2818,776,660,776
2819,556,681,556
2820,333,737,737
2821,566,42,42
2822,275,34,275
2823,177,193,193
2824,520,356,520
2825,569,122,569
2826,3,259,259
2827,504,636,504
2828,587,31,31
2829,150,197,197
2830,424,487,424
2831,392,716,716
2832,589,285,589
2833,72,65,72
2834,190,549,549
2835,178,672,672
2836,619,620,619
2837,651,74,74
2838,203,537,537
2839,771,648,648
2840,532,26,26
2841,367,351,367
2842,488,434,434
2843,11,6,6
2844,247,676,247
2845,448,490,490
2846,98,685,685
2847,209,222,209
2848,150,564,564
2849,753,105,105
2850,646,67,67
2851,263,773,263
2852,226,384,384
2853,546,576,576
2854,693,738,693
2855,663,465,465
2856,544,77,544
2857,780,664,664
2858,171,501,171
2859,723,443,443
2860,246,791,246
2861,304,492,492
2862,575,63,63
2863,742,138,138
2864,606,431,606
2865,502,601,502
2866,408,679,679
2867,537,306,537
2868,514,741,514
2869,467,784,467
2870,679,313,679
2871,632,43,43
2872,258,347,258
2873,278,247,247
2874,757,154,154
2875,534,361,534
2876,750,683,683
2877,643,7,7
2878,361,68,68
2879,203,77,77
2880,397,745,745
2881,241,513,513
2882,290,771,771
2883,774,344,344
2884,417,735,735
2885,507,656,656
2886,452,392,392
2887,220,63,63
2888,623,132,623
2889,503,481,481
2890,241,183,183
2891,122,229,229
2892,620,343,343
2893,628,492,628
2894,602,218,602
2895,117,98,98
2896,546,449,546
2897,232,621,232
2898,290,17,290
2899,632,317,317
2900,776,341,341
2901,659,383,383
2902,268,502,502
2903,670,494,494
2904,725,263,263
2905,188,548,548
2906,752,120,752
2907,799,726,726
2908,648,368,648
2909,150,386,386
2910,392,436,392
2911,109,422,109
2912,743,159,159
2913,349,128,349
2914,778,312,778
2915,444,450,444
2916,15,639,15
2917,89,456,89
2918,166,472,472
2919,50,120,50
2920,715,334,715
2921,656,167,656
2922,443,426,426
2923,53,387,387
2924,93,207,93
2925,408,301,301
2926,652,767,767
2927,754,667,667
2928,131,698,131
2929,589,167,589
2930,444,305,444
2931,691,228,228
2932,124,718,718
2933,793,109,109
2934,267,277,267
2935,232,317,232
2936,76,750,76
2937,324,460,460
2938,426,432,432
2939,506,90,90
2940,473,462,473
2941,200,173,200
2942,695,20,20
2943,199,235,235
2944,419,179,419
2945,202,238,202
2946,333,475,475
2947,90,554,554
2948,134,20,20
2949,590,182,590
2950,154,343,154
2951,586,150,150
2952,597,732,732
2953,172,411,172
2954,56,440,56
2955,367,770,367
2956,519,458,519
2957,775,619,619
2958,472,565,472
2959,614,754,614
2960,105,483,483
2961,714,576,714
2962,513,43,513
2963,342,738,342
2964,457,705,705
2965,102,680,102
2966,682,601,682
2967,762,83,83
2968,497,504,497
2969,126,587,587
2970,95,749,95
2971,499,479,499
2972,460,259,259
2973,429,122,429
2974,258,386,258
2975,124,430,430
2976,116,426,426
2977,199,606,606
2978,315,282,282
2979,365,321,365
2980,86,240,240
2981,405,617,617
2982,271,8,8
2983,545,776,545
2984,298,32,32
2985,679,567,679
2986,664,553,553
2987,473,162,162
2988,397,590,590
2989,396,175,175
2990,427,535,427
2991,640,629,629
2992,344,185,344
2993,623,744,623
2994,372,701,701
2995,251,415,415
2996,161,786,786
2997,629,750,629
2998,736,398,398
2999,554,774,554
3000,348,481,481
3001,662,449,662
3002,377,181,181
3003,473,712,712
3004,467,159,467
3005,628,19,19
3006,11,491,11
3007,169,219,219
3008,618,121,618
3009,299,721,299
3010,118,671,671
3011,237,174,174
3012,608,25,608
3013,661,407,407
3014,657,673,673
3015,687,33,687
3016,102,533,102
3017,322,656,656
3018,518,504,518
3019,375,175,175
3020,628,158,158
3021,753,429,429
3022,625,60,60
3023,357,375,357
3024,175,727,727
3025,415,668,415
3026,365,346,365
3027,541,681,541
3028,604,688,604
3029,183,270,270
3030,386,507,507
3031,611,207,611
3032,442,443,443
3033,799,626,799
3034,461,526,526
3035,795,148,795
3036,126,719,126
3037,600,64,600
3038,795,388,795
3039,105,475,475
3040,57,713,57
3041,629,555,629
3042,459,75,75
3043,607,280,607
3044,574,636,574
3045,46,188,46
3046,259,792,792
3047,546,215,546
3048,184,688,184
3049,90,631,631
3050,249,482,249
3051,473,195,473
3052,508,766,766
3053,487,372,372
3054,772,37,772
3055,796,31,31
3056,353,451,451
3057,410,98,410
3058,176,755,755
3059,757,493,493
3060,232,703,703
3061,788,687,687
3062,617,297,617
3063,357,347,357
3064,627,774,774
3065,384,553,553
3066,283,441,441
3067,335,679,679
3068,652,395,395
3069,596,738,596
3070,216,635,635
3071,692,289,692
3072,302,115,115
3073,469,349,349
3074,375,34,34
3075,630,496,496
3076,730,432,432
3077,277,241,277
3078,92,700,700
3079,273,578,273
3080,657,234,234
3081,360,512,512
3082,68,704,704
3083,621,298,298
3084,359,695,359
3085,414,288,414
3086,293,378,293
3087,739,742,742
3088,63,494,494
3089,579,92,92
3090,748,137,748
3091,224,476,476
3092,201,630,630
3093,194,226,194
3094,289,3,3
3095,651,173,173
3096,775,531,531
3097,616,407,616
3098,228,276,276
3099,259,305,259
3100,230,678,230
3101,120,754,754
3102,587,717,717
3103,134,53,53
3104,119,420,420
3105,742,529,742
3106,370,598,598
3107,89,509,509
3108,30,126,30
3109,567,533,533
3110,38,27,27
3111,571,745,745
3112,35,325,325
3113,206,519,519
3114,461,733,461
3115,637,596,596
3116,692,127,127
3117,473,340,340
3118,332,367,367
3119,634,705,705
3120,144,648,648
3121,317,62,62
3122,677,635,635
3123,98,15,98
3124,726,519,726
3125,315,403,403
3126,237,287,237
3127,460,771,771
3128,318,379,379
3129,375,91,91
3130,281,6,6
3131,765,73,765
3132,187,457,457
3133,374,204,204
3134,565,22,565
3135,620,628,628
3136,411,38,38
3137,727,731,727
3138,376,751,751
3139,707,624,707
3140,22,788,22
3141,545,9,9
3142,118,570,570
3143,754,712,712
3144,577,666,666
3145,554,466,554
3146,135,296,135
3147,180,290,290
3148,294,555,555
3149,619,110,110
3150,401,612,612
3151,62,569,62
3152,212,258,212
3153,686,220,686
3154,711,1,711
3155,190,252,252
3156,468,678,468
3157,7,198,7
3158,755,683,683
3159,82,63,63
3160,442,406,406
3161,536,123,536
3162,428,321,428
3163,339,451,339
3164,328,238,238
3165,71,645,71
3166,258,705,705
3167,415,406,415
3168,756,706,706
3169,538,152,538
3170,360,580,580
3171,652,224,224
3172,698,650,650
3173,215,421,421
3174,486,581,581
3175,775,389,775
3176,297,191,191
3177,725,156,156
3178,390,457,457
3179,102,106,102
3180,193,30,193
3181,152,607,607
3182,519,42,519
3183,515,435,435
3184,777,589,777
3185,53,734,53
3186,95,503,503
3187,411,501,501
3188,379,370,370
3189,464,439,439
3190,281,792,792
3191,484,352,484
3192,648,798,648
3193,790,120,790
3194,34,738,34
3195,166,354,166
3196,121,387,387
3197,615,361,361
3198,172,50,172
3199,647,612,647
3200,25,465,465
3201,45,610,610
3202,466,592,466
3203,324,684,684
3204,528,76,528
3205,1,480,480
3206,765,254,254
3207,671,172,172
3208,130,8,8
3209,294,652,294
3210,512,778,778
3211,648,641,648
3212,751,554,554
3213,341,292,341
3214,277,230,230
